"","Breed","Weight","PD","Urea","Breed_x_Weight"
"yellow",0.3094729129057,0.437947509645568,-0.186680045995845,-0.139451670063566,0.594155023669814
"turquoise",-0.149774722065866,-0.453789502512435,0.246316022217131,-0.0049431152810169,-0.569028515363267
"pink",0.181503702206597,-0.140011560681955,0.313592444195522,-0.0854277578545333,0.0141465881385864
"brown",-0.192565282969364,-0.450850914820963,0.316797199111394,0.105116713295311,-0.559494311575564
"green",0.22890240211648,0.261361614114529,-0.0970311167156139,-0.0892551776298173,0.31454208712684
"blue",-0.0343552916026214,-0.222982075306844,0.128414212864446,-0.0154363708607939,-0.386845913076908
"black",0.0810310451302013,0.23255582599843,-0.162266510477322,0.00580691679139054,0.0678299015891263
"magenta",0.194766792357318,0.239614839636306,-0.095436083596043,-0.0733894103111556,0.358340916006272
