"","Breed","Weight","PD","Urea","Breed_x_Weight"
"yellow",0.0323202623517465,0.00185133264148764,0.203918105166996,0.344499641613973,8.50162100362995e-06
"turquoise",0.309599552190336,0.00119755589947633,0.0914771540972885,0.97339999049923,2.44145673965764e-05
"pink",0.216967156272516,0.342546803270545,0.0299736946173139,0.563725598268562,0.923972003469166
"brown",0.189764653183234,0.00130039123866349,0.028247684077205,0.477055389120476,3.56346291848182e-05
"green",0.11759759500998,0.072754456030188,0.511771510537313,0.546319920942732,0.0294533358951007
"blue",0.816681973017137,0.127659863454583,0.384389319058359,0.917063508008244,0.00660483487937623
"black",0.584033289509449,0.111695677043764,0.270503514524202,0.96875380877442,0.646894910482561
"magenta",0.184654506830167,0.10093554348012,0.518767222823783,0.620089613645362,0.0123884118364413
